text,translation,language,category,label
السلام علیکم,Hello/Peace be upon you,urdu,greeting,0
وعلیکم السلام,And peace be upon you too,urdu,greeting,0
صبح بخیر,Good morning,urdu,greeting,0
شام بخیر,Good evening,urdu,greeting,0
رات بخیر,Good night,urdu,greeting,0
خوش آمدید,Welcome,urdu,greeting,0
الوداع,Goodbye,urdu,greeting,0
پھر ملیں گے,See you later,urdu,greeting,0
شکریہ,Thank you,urdu,polite,0
بہت شکریہ,Thank you very much,urdu,polite,0
آپ کا بہت بہت شکریہ,Thank you so much,urdu,polite,0
معاف کیجیے,Excuse me/Sorry,urdu,polite,0
مہربانی,Please/Kindness,urdu,polite,0
براہ مہربانی,Please,urdu,polite,0
کوئی بات نہیں,No problem/You're welcome,urdu,polite,0
معاف کریں,Forgive me,urdu,polite,0
ہاں,Yes,urdu,response,0
نہیں,No,urdu,response,0
ٹھیک ہے,Okay/Alright,urdu,response,0
بالکل,Absolutely,urdu,response,0
شاید,Maybe/Perhaps,urdu,response,0
یقیناً,Certainly,urdu,response,0
ضرور,Of course,urdu,response,0
بلکل ٹھیک,Absolutely right,urdu,response,0
آپ کیسے ہیں؟,How are you?,urdu,question,0
آپ کا نام کیا ہے؟,What is your name?,urdu,question,0
آپ کہاں سے ہیں؟,Where are you from?,urdu,question,0
یہ کیا ہے؟,What is this?,urdu,question,0
کیوں؟,Why?,urdu,question,0
کب؟,When?,urdu,question,0
کہاں؟,Where?,urdu,question,0
کیسے؟,How?,urdu,question,0
کون؟,Who?,urdu,question,0
کتنا؟,How much?,urdu,question,0
والد,Father,urdu,family,0
والدہ,Mother,urdu,family,0
بھائی,Brother,urdu,family,0
بہن,Sister,urdu,family,0
دادا,Grandfather (paternal),urdu,family,0
دادی,Grandmother (paternal),urdu,family,0
نانا,Grandfather (maternal),urdu,family,0
نانی,Grandmother (maternal),urdu,family,0
بیٹا,Son,urdu,family,0
بیٹی,Daughter,urdu,family,0
خاندان,Family,urdu,family,0
رشتہ دار,Relative,urdu,family,0
کھانا,Food,urdu,food,0
پانی,Water,urdu,food,0
دودھ,Milk,urdu,food,0
چائے,Tea,urdu,food,0
کافی,Coffee,urdu,food,0
روٹی,Bread,urdu,food,0
چاول,Rice,urdu,food,0
گوشت,Meat,urdu,food,0
مچھلی,Fish,urdu,food,0
سبزی,Vegetable,urdu,food,0
پھل,Fruit,urdu,food,0
ناشتہ,Breakfast,urdu,food,0
دوپہر کا کھانا,Lunch,urdu,food,0
رات کا کھانا,Dinner,urdu,food,0
ایک,One,urdu,number,0
دو,Two,urdu,number,0
تین,Three,urdu,number,0
چار,Four,urdu,number,0
پانچ,Five,urdu,number,0
چھ,Six,urdu,number,0
سات,Seven,urdu,number,0
آٹھ,Eight,urdu,number,0
نو,Nine,urdu,number,0
دس,Ten,urdu,number,0
بیس,Twenty,urdu,number,0
سو,Hundred,urdu,number,0
ہزار,Thousand,urdu,number,0
رنگ,Color,urdu,color,0
سفید,White,urdu,color,0
کالا,Black,urdu,color,0
لال,Red,urdu,color,0
نیلا,Blue,urdu,color,0
سبز,Green,urdu,color,0
پیلا,Yellow,urdu,color,0
نارنجی,Orange,urdu,color,0
جامنی,Purple,urdu,color,0
گلابی,Pink,urdu,color,0
بھورا,Brown,urdu,color,0
وقت,Time,urdu,time,0
دن,Day,urdu,time,0
رات,Night,urdu,time,0
صبح,Morning,urdu,time,0
دوپہر,Afternoon,urdu,time,0
شام,Evening,urdu,time,0
آج,Today,urdu,time,0
کل,Yesterday/Tomorrow,urdu,time,0
پرسوں,Day before/after tomorrow,urdu,time,0
ہفتہ,Week,urdu,time,0
مہینہ,Month,urdu,time,0
سال,Year,urdu,time,0
گھر,Home/House,urdu,place,0
اسکول,School,urdu,place,0
دفتر,Office,urdu,place,0
دکان,Shop,urdu,place,0
بازار,Market,urdu,place,0
اسپتال,Hospital,urdu,place,0
ریستوراں,Restaurant,urdu,place,0
ہوٹل,Hotel,urdu,place,0
مسجد,Mosque,urdu,place,0
پارک,Park,urdu,place,0
شہر,City,urdu,place,0
ملک,Country,urdu,place,0
جانا,To go,urdu,verb,0
آنا,To come,urdu,verb,0
کھانا,To eat,urdu,verb,0
پینا,To drink,urdu,verb,0
سونا,To sleep,urdu,verb,0
پڑھنا,To read/study,urdu,verb,0
لکھنا,To write,urdu,verb,0
بولنا,To speak,urdu,verb,0
سننا,To hear,urdu,verb,0
دیکھنا,To see/watch,urdu,verb,0
سمجھنا,To understand,urdu,verb,0
کرنا,To do,urdu,verb,0
دینا,To give,urdu,verb,0
لینا,To take,urdu,verb,0
اچھا,Good,urdu,adjective,0
برا,Bad,urdu,adjective,0
بڑا,Big/Large,urdu,adjective,0
چھوٹا,Small,urdu,adjective,0
نیا,New,urdu,adjective,0
پرانا,Old,urdu,adjective,0
خوبصورت,Beautiful,urdu,adjective,0
بدصورت,Ugly,urdu,adjective,0
تیز,Fast,urdu,adjective,0
سست,Slow,urdu,adjective,0
گرم,Hot,urdu,adjective,0
ٹھنڈا,Cold,urdu,adjective,0
خوش,Happy,urdu,emotion,0
غمگین,Sad,urdu,emotion,0
خوشی,Happiness,urdu,emotion,0
غم,Sorrow,urdu,emotion,0
پیار,Love,urdu,emotion,0
نفرت,Hate,urdu,emotion,0
خوف,Fear,urdu,emotion,0
غصہ,Anger,urdu,emotion,0
امید,Hope,urdu,emotion,0
مایوسی,Disappointment,urdu,emotion,0
سر,Head,urdu,body,0
آنکھ,Eye,urdu,body,0
کان,Ear,urdu,body,0
ناک,Nose,urdu,body,0
منہ,Mouth,urdu,body,0
ہاتھ,Hand,urdu,body,0
پاؤں,Foot,urdu,body,0
دل,Heart,urdu,body,0
پیٹ,Stomach,urdu,body,0
انگلی,Finger,urdu,body,0
تعلیم,Education,urdu,education,0
استاد,Teacher,urdu,education,0
طالب علم,Student,urdu,education,0
کتاب,Book,urdu,education,0
قلم,Pen,urdu,education,0
کاپی,Notebook,urdu,education,0
امتحان,Exam,urdu,education,0
سبق,Lesson,urdu,education,0
کلاس,Class,urdu,education,0
ہوم ورک,Homework,urdu,education,0
السلام علیکم,Hello,punjabi,greeting,1
ست سری اکال,Hello (Sikh greeting),punjabi,greeting,1
کی حال اے؟,How are you?,punjabi,greeting,1
شکریہ,Thank you,punjabi,polite,1
معاف کرنا,Sorry/Excuse me,punjabi,polite,1
مہربانی,Please,punjabi,polite,1
الوداع,Goodbye,punjabi,greeting,1
خدا حافظ,Goodbye,punjabi,greeting,1
ہاں,Yes,punjabi,response,1
نئیں,No,punjabi,response,1
ٹھیک اے,It's okay,punjabi,response,1
بلکل,Absolutely,punjabi,response,1
ہو سکدا اے,Maybe,punjabi,response,1
ماں,Mother,punjabi,family,1
ابا,Father,punjabi,family,1
بھرا,Brother,punjabi,family,1
بھین,Sister,punjabi,family,1
دادا,Grandfather,punjabi,family,1
دادی,Grandmother,punjabi,family,1
پتر,Son,punjabi,family,1
دھی,Daughter,punjabi,family,1
پروار,Family,punjabi,family,1
کھانا,Food,punjabi,food,1
پانی,Water,punjabi,food,1
دودھ,Milk,punjabi,food,1
چاہ,Tea,punjabi,food,1
روٹی,Bread,punjabi,food,1
چاول,Rice,punjabi,food,1
سبزی,Vegetable,punjabi,food,1
پھل,Fruit,punjabi,food,1
گوشت,Meat,punjabi,food,1
مچھی,Fish,punjabi,food,1
جانا,To go,punjabi,verb,1
آونا,To come,punjabi,verb,1
کھانا,To eat,punjabi,verb,1
پینا,To drink,punjabi,verb,1
سونا,To sleep,punjabi,verb,1
پڑھنا,To read,punjabi,verb,1
لکھنا,To write,punjabi,verb,1
بولنا,To speak,punjabi,verb,1
سننا,To hear,punjabi,verb,1
ویکھنا,To see,punjabi,verb,1
گھر,Home,punjabi,place,1
سکول,School,punjabi,place,1
دفتر,Office,punjabi,place,1
بازار,Market,punjabi,place,1
ہسپتال,Hospital,punjabi,place,1
مسیت,Mosque,punjabi,place,1
پنڈ,Village,punjabi,place,1
شہر,City,punjabi,place,1
اک,One,punjabi,number,1
دو,Two,punjabi,number,1
تن,Three,punjabi,number,1
چار,Four,punjabi,number,1
پنج,Five,punjabi,number,1
چھے,Six,punjabi,number,1
ست,Seven,punjabi,number,1
اٹھ,Eight,punjabi,number,1
نو,Nine,punjabi,number,1
دس,Ten,punjabi,number,1
رنگ,Color,punjabi,color,1
چٹا,White,punjabi,color,1
کالا,Black,punjabi,color,1
لال,Red,punjabi,color,1
نیلا,Blue,punjabi,color,1
ہرا,Green,punjabi,color,1
پیلا,Yellow,punjabi,color,1
ویلا,Time,punjabi,time,1
دن,Day,punjabi,time,1
رات,Night,punjabi,time,1
سویر,Morning,punjabi,time,1
دوپہر,Afternoon,punjabi,time,1
شام,Evening,punjabi,time,1
اج,Today,punjabi,time,1
کل,Yesterday/Tomorrow,punjabi,time,1
سر,Head,punjabi,body,1
اکھ,Eye,punjabi,body,1
کن,Ear,punjabi,body,1
نک,Nose,punjabi,body,1
منہ,Mouth,punjabi,body,1
ہتھ,Hand,punjabi,body,1
پیر,Foot,punjabi,body,1
خوش,Happy,punjabi,emotion,1
دکھی,Sad,punjabi,emotion,1
پیار,Love,punjabi,emotion,1
غصہ,Anger,punjabi,emotion,1
ڈر,Fear,punjabi,emotion,1
میں اچھا ہوں,I am fine,urdu,sentence,0
آپ کا نام کیا ہے؟,What is your name?,urdu,sentence,0
میرا نام احمد ہے,My name is Ahmad,urdu,sentence,0
میں پاکستان سے ہوں,I am from Pakistan,urdu,sentence,0
آپ کہاں رہتے ہیں؟,Where do you live?,urdu,sentence,0
میں کراچی میں رہتا ہوں,I live in Karachi,urdu,sentence,0
مجھے اردو پسند ہے,I like Urdu,urdu,sentence,0
کیا آپ اردو بولتے ہیں؟,Do you speak Urdu?,urdu,sentence,0
ہاں، میں اردو بولتا ہوں,"Yes, I speak Urdu",urdu,sentence,0
مجھے سمجھ نہیں آیا,I didn't understand,urdu,sentence,0
براہ کرم دوبارہ کہیں,Please say again,urdu,sentence,0
آپ کی مدد کے لیے شکریہ,Thank you for your help,urdu,sentence,0
کوئی مسئلہ نہیں,No problem,urdu,sentence,0
میں تھکا ہوا ہوں,I am tired,urdu,sentence,0
میں بھوکا ہوں,I am hungry,urdu,sentence,0
میں پیاسا ہوں,I am thirsty,urdu,sentence,0
موسم بہت اچھا ہے,The weather is very nice,urdu,sentence,0
آج بہت گرمی ہے,It's very hot today,urdu,sentence,0
کل بارش ہوئی تھی,It rained yesterday,urdu,sentence,0
میں کتاب پڑھ رہا ہوں,I am reading a book,urdu,sentence,0
وہ اسکول جا رہی ہے,She is going to school,urdu,sentence,0
ہم کھانا کھا رہے ہیں,We are eating food,urdu,sentence,0
وہ لوگ کام کر رہے ہیں,They are working,urdu,sentence,0
میں نے کھانا کھایا,I ate food,urdu,sentence,0
اس نے پانی پیا,He/She drank water,urdu,sentence,0
ہم نے فلم دیکھی,We watched a movie,urdu,sentence,0
انہوں نے گانا سنا,They listened to a song,urdu,sentence,0
میں کل جاؤں گا,I will go tomorrow,urdu,sentence,0
وہ اگلے ہفتے آئے گا,He will come next week,urdu,sentence,0
ہم پارک میں کھیلیں گے,We will play in the park,urdu,sentence,0
یہ میری کتاب ہے,This is my book,urdu,sentence,0
وہ اس کا قلم ہے,That is his/her pen,urdu,sentence,0
یہ بہت خوبصورت ہے,This is very beautiful,urdu,sentence,0
وہ بہت مہنگا ہے,That is very expensive,urdu,sentence,0
مجھے یہ پسند ہے,I like this,urdu,sentence,0
مجھے یہ پسند نہیں,I don't like this,urdu,sentence,0
کیا آپ مجھے مدد کر سکتے ہیں؟,Can you help me?,urdu,sentence,0
میں آپ کی مدد کروں گا,I will help you,urdu,sentence,0
وقت کیا ہوا ہے؟,What time is it?,urdu,sentence,0
اب تین بجے ہیں,It's three o'clock now,urdu,sentence,0
میرے پاس وقت نہیں ہے,I don't have time,urdu,sentence,0
میں دیر سے آیا ہوں,I came late,urdu,sentence,0
براہ کرم جلدی کریں,Please hurry up,urdu,sentence,0
میں جلدی میں ہوں,I am in a hurry,urdu,sentence,0
آرام سے,Take it easy/Relax,urdu,sentence,0
کوئی جلدی نہیں ہے,There's no hurry,urdu,sentence,0
میں آپ سے محبت کرتا ہوں,I love you,urdu,sentence,0
مجھے آپ پسند ہیں,I like you,urdu,sentence,0
آپ بہت اچھے ہیں,You are very good,urdu,sentence,0
آپ بہت مہربان ہیں,You are very kind,urdu,sentence,0
یہ میرا گھر ہے,This is my house,urdu,sentence,0
وہ میری کار ہے,That is my car,urdu,sentence,0
میرے پاس موبائل فون ہے,I have a mobile phone,urdu,sentence,0
اس کے پاس کمپیوٹر ہے,He/She has a computer,urdu,sentence,0
میں روزانہ ورزش کرتا ہوں,I exercise daily,urdu,sentence,0
وہ صبح سویرے اٹھتی ہے,She wakes up early in the morning,urdu,sentence,0
ہم رات کو سوتے ہیں,We sleep at night,urdu,sentence,0
میں اردو سیکھ رہا ہوں,I am learning Urdu,urdu,sentence,0
وہ انگریزی پڑھ رہا ہے,He is studying English,urdu,sentence,0
یہ بہت آسان ہے,This is very easy,urdu,sentence,0
وہ بہت مشکل ہے,That is very difficult,urdu,sentence,0
میں سمجھ گیا,I understood,urdu,sentence,0
مجھے یاد ہے,I remember,urdu,sentence,0
میں بھول گیا,I forgot,urdu,sentence,0
آپ کو یاد ہے؟,Do you remember?,urdu,sentence,0
میں نے دیکھا,I saw,urdu,sentence,0
میں نے سنا,I heard,urdu,sentence,0
کیا آپ نے دیکھا؟,Did you see?,urdu,sentence,0
کیا آپ نے سنا؟,Did you hear?,urdu,sentence,0
میں آپ کو ڈھونڈ رہا تھا,I was looking for you,urdu,sentence,0
آپ کہاں تھے؟,Where were you?,urdu,sentence,0
میں گھر پر تھا,I was at home,urdu,sentence,0
وہ دفتر میں تھا,He was in the office,urdu,sentence,0
ہم باہر تھے,We were outside,urdu,sentence,0
بچے کھیل رہے تھے,Children were playing,urdu,sentence,0
میں کام کر رہا تھا,I was working,urdu,sentence,0
وہ سو رہی تھی,She was sleeping,urdu,sentence,0
آج میری چھٹی ہے,Today is my holiday,urdu,sentence,0
کل اتوار ہے,Tomorrow is Sunday,urdu,sentence,0
آج کا دن اچھا ہے,Today is a good day,urdu,sentence,0
موسم خوشگوار ہے,The weather is pleasant,urdu,sentence,0
بارش ہو رہی ہے,It is raining,urdu,sentence,0
ہوا چل رہی ہے,Wind is blowing,urdu,sentence,0
سورج نکل آیا ہے,The sun has come out,urdu,sentence,0
چاند نکل آیا ہے,The moon has come out,urdu,sentence,0
تارے چمک رہے ہیں,Stars are shining,urdu,sentence,0
رات بہت خوبصورت ہے,The night is very beautiful,urdu,sentence,0
میں آپ سے ملنا چاہتا ہوں,I want to meet you,urdu,sentence,0
آپ کب آئیں گے؟,When will you come?,urdu,sentence,0
میں جلد آؤں گا,I will come soon,urdu,sentence,0
انتظار کریں,Please wait,urdu,sentence,0
میں تیار ہو رہا ہوں,I am getting ready,urdu,sentence,0
ابھی چلتے ہیں,Let's go now,urdu,sentence,0
دیر ہو رہی ہے,It's getting late,urdu,sentence,0
جلدی کرو,Hurry up,urdu,sentence,0
آہستہ چلو,Walk slowly,urdu,sentence,0
یہاں بیٹھو,Sit here,urdu,sentence,0
وہاں کھڑے ہو,Stand there,urdu,sentence,0
اندر آجائیں,Please come in,urdu,sentence,0
باہر جائیں,Please go out,urdu,sentence,0
دروازہ کھولو,Open the door,urdu,sentence,0
دروازہ بند کرو,Close the door,urdu,sentence,0
لائٹ آن کرو,Turn on the light,urdu,sentence,0
لائٹ آف کرو,Turn off the light,urdu,sentence,0
آواز بلند کرو,Increase the volume,urdu,sentence,0
آواز کم کرو,Decrease the volume,urdu,sentence,0
خاموش رہو,Be quiet,urdu,sentence,0
شور مت کرو,Don't make noise,urdu,sentence,0
میں ٹھیک آں,I am fine,punjabi,sentence,1
تسی کیہ کر رئے او؟,What are you doing?,punjabi,sentence,1
میں کھانا کھا رہیا آں,I am eating food,punjabi,sentence,1
تہانوں کی چاہیدا اے؟,What do you need?,punjabi,sentence,1
میںنوں پانی چاہیدا اے,I need water,punjabi,sentence,1
تسی کتھوں آئے او؟,Where did you come from?,punjabi,sentence,1
میں لہور توں آیا آں,I came from Lahore,punjabi,sentence,1
تسی کتھے جا رئے او؟,Where are you going?,punjabi,sentence,1
میں گھر جا رہیا آں,I am going home,punjabi,sentence,1
کی گل اے؟,What's the matter?,punjabi,sentence,1
کج نئیں,Nothing,punjabi,sentence,1
سب ٹھیک اے,Everything is fine,punjabi,sentence,1
تہاڈا کی حال اے؟,How are you?,punjabi,sentence,1
میں بہت خوش آں,I am very happy,punjabi,sentence,1
میں دکھی آں,I am sad,punjabi,sentence,1
میں تھکیا ہویا آں,I am tired,punjabi,sentence,1
میں بھکھا آں,I am hungry,punjabi,sentence,1
میںنوں نیند آ رئی اے,I am feeling sleepy,punjabi,sentence,1
موسم بہت سوہنا اے,The weather is very nice,punjabi,sentence,1
اج بہت گرمی اے,It's very hot today,punjabi,sentence,1
کل مینہہ پیا سی,It rained yesterday,punjabi,sentence,1
میں کتاب پڑھ رہیا آں,I am reading a book,punjabi,sentence,1
او سکول جا رئی اے,She is going to school,punjabi,sentence,1
اسیں کھانا کھا رئے آں,We are eating food,punjabi,sentence,1
او لوگ کم کر رئے نے,They are working,punjabi,sentence,1
میں نے کھانا کھادا,I ate food,punjabi,sentence,1
اس نے پانی پیتا,He/She drank water,punjabi,sentence,1
اسیں فلم ویکھی,We watched a movie,punjabi,sentence,1
اناں نے گانا سنیا,They listened to a song,punjabi,sentence,1
میں کل جاواں گا,I will go tomorrow,punjabi,sentence,1
او اگلے ہفتے آویگا,He will come next week,punjabi,sentence,1
اسیں پارک وچ کھیڈاں گے,We will play in the park,punjabi,sentence,1
ایہہ میری کتاب اے,This is my book,punjabi,sentence,1
او اس دا قلم اے,That is his/her pen,punjabi,sentence,1
ایہہ بہت سوہنا اے,This is very beautiful,punjabi,sentence,1
او بہت مہنگا اے,That is very expensive,punjabi,sentence,1
میںنوں ایہہ پسند اے,I like this,punjabi,sentence,1
میںنوں ایہہ پسند نئیں,I don't like this,punjabi,sentence,1
کی تسی میری مدد کر سکدے او؟,Can you help me?,punjabi,sentence,1
میں تہاڈی مدد کراں گا,I will help you,punjabi,sentence,1
ویلا کی ہویا اے؟,What time is it?,punjabi,sentence,1
ہن تن وجے نے,It's three o'clock now,punjabi,sentence,1
میرے کول ویلا نئیں اے,I don't have time,punjabi,sentence,1
میں دیر نال آیا آں,I came late,punjabi,sentence,1
مہربانی کر کے جلدی کرو,Please hurry up,punjabi,sentence,1
میں جلدی وچ آں,I am in a hurry,punjabi,sentence,1
آرام نال,Take it easy,punjabi,sentence,1
کوئی جلدی نئیں اے,There's no hurry,punjabi,sentence,1
میں تہانوں پیار کردا آں,I love you,punjabi,sentence,1
میںنوں تسی پسند او,I like you,punjabi,sentence,1
تسی بہت چنگے او,You are very good,punjabi,sentence,1
تسی بہت مہربان او,You are very kind,punjabi,sentence,1
ایہہ میرا گھر اے,This is my house,punjabi,sentence,1
او میری گڈی اے,That is my car,punjabi,sentence,1
میرے کول موبائل اے,I have a mobile phone,punjabi,sentence,1
اس کول کمپیوٹر اے,He/She has a computer,punjabi,sentence,1
میں روز ورزش کردا آں,I exercise daily,punjabi,sentence,1
او سویرے اٹھدی اے,She wakes up early,punjabi,sentence,1
اسیں رات نوں سوندے آں,We sleep at night,punjabi,sentence,1
میں پنجابی سکھ رہیا آں,I am learning Punjabi,punjabi,sentence,1
او انگریزی پڑھ رہیا اے,He is studying English,punjabi,sentence,1
ایہہ بہت اوکھا اے,This is very easy,punjabi,sentence,1
او بہت مشکل اے,That is very difficult,punjabi,sentence,1
میں سمجھ گیا,I understood,punjabi,sentence,1
میںنوں یاد اے,I remember,punjabi,sentence,1
میں بھل گیا,I forgot,punjabi,sentence,1
تہانوں یاد اے؟,Do you remember?,punjabi,sentence,1
میں نے ویکھیا,I saw,punjabi,sentence,1
میں نے سنیا,I heard,punjabi,sentence,1
کی تسی نے ویکھیا؟,Did you see?,punjabi,sentence,1
کی تسی نے سنیا؟,Did you hear?,punjabi,sentence,1
میں تہانوں ڈھونڈ رہیا سی,I was looking for you,punjabi,sentence,1
تسی کتھے سی؟,Where were you?,punjabi,sentence,1
میں گھر تے سی,I was at home,punjabi,sentence,1
او دفتر وچ سی,He was in the office,punjabi,sentence,1
اسیں باہر سی,We were outside,punjabi,sentence,1
بچے کھیڈ رئے سن,Children were playing,punjabi,sentence,1
میں کم کر رہیا سی,I was working,punjabi,sentence,1
او سوئی ہوئی سی,She was sleeping,punjabi,sentence,1
اج میری چھٹی اے,Today is my holiday,punjabi,sentence,1
کل اتوار اے,Tomorrow is Sunday,punjabi,sentence,1
اج دا دن چنگا اے,Today is a good day,punjabi,sentence,1
موسم خوشگوار اے,The weather is pleasant,punjabi,sentence,1
مینہہ پے رہیا اے,It is raining,punjabi,sentence,1
ہوا چل رئی اے,Wind is blowing,punjabi,sentence,1
سورج نکل آیا اے,The sun has come out,punjabi,sentence,1
چن نکل آیا اے,The moon has come out,punjabi,sentence,1
تارے چمک رئے نے,Stars are shining,punjabi,sentence,1
رات بہت سوہنی اے,The night is very beautiful,punjabi,sentence,1
میں تہانوں ملنا چاہنا آں,I want to meet you,punjabi,sentence,1
تسی کدوں آوگے؟,When will you come?,punjabi,sentence,1
میں جلدی آواں گا,I will come soon,punjabi,sentence,1
انتظار کرو,Please wait,punjabi,sentence,1
میں تیار ہو رہیا آں,I am getting ready,punjabi,sentence,1
ہن چلدے آں,Let's go now,punjabi,sentence,1
دیر ہو رئی اے,It's getting late,punjabi,sentence,1
جلدی کرو,Hurry up,punjabi,sentence,1
اہستہ چلو,Walk slowly,punjabi,sentence,1
ایتھے بیٹھو,Sit here,punjabi,sentence,1
اوتھے کھلو,Stand there,punjabi,sentence,1
اندر آ جاؤ,Please come in,punjabi,sentence,1
باہر جاؤ,Please go out,punjabi,sentence,1
دروازہ کھولو,Open the door,punjabi,sentence,1
دروازہ بند کرو,Close the door,punjabi,sentence,1
